codigo_subpartida,descripcion
0304420000,"- - Truchas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache y Oncorhynchus chrysogaster)"
0304430000,"- - Pescados planos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae y Citharidae)"
0304440000,"- - Pescados de las familias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae y Muraenolepididae"
0304450000,- - Peces espada (Xiphias gladius)
0304460000,"- - Austromerluzas antárticas y austromerluzas negras (merluzas negras, bacalaos de profundidad, nototenias negras) (Dissostichus spp.)"
0304470000,- - Cazones y demás escualos
0304480000,- - Rayas (Rajidae)
0304490000,- - Los demás
0304510000,"- - Tilapias (Oreochromis spp.), bagres o peces gato (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), anguilas (Anguilla spp.), percas del Nilo (Lates niloticus) y peces cabeza de serpiente (Channa spp.)."
0304520000,- - Salmónidos
0304530000,"- - Pescados de las familias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae y Muraenolepididae"
0304540000,- - Peces espada (Xiphias gladius)
0304550000,"- - Austromerluzas antárticas y austromerluzas negras (merluzas negras, bacalaos de profundidad, nototenias negras) (Dissostichus spp.)"
0304560000,- - Cazones y demás escualos
0304570000,- - Rayas (Rajidae)
0304590000,- - Los demás
0304610000,- - Tilapias (Oreochromis spp.)
0304620000,"- - Bagres o peces gato (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)"
0304630000,- - Percas del Nilo (Lates niloticus)
0304690000,- - Los demás
0304710000,"- - Bacalaos (Gadus morhua, Gadus ogac, Gadus macrocephalus)"
0304720000,- - Eglefinos (Melanogrammus aeglefinus)
0304730000,- - Carboneros (Pollachius virens)
0304740010,"- - - En bloques, sin piel, con espinas"
0304740020,"- - - En bloques, sin piel, sin espinas"
0304740030,"- - - En bloques, picado"
0304740040,"- - - Porciones (“tabletas”), sin piel, con espinas"
0304740050,"- - - Interfoliados, sin piel, con espinas"
0304740060,"- - - Interfoliados, sin piel, sin espinas"
0304740090,- - - Los demás
0304750000,- - Abadejos de Alaska (Theragra chalcogramma)
0304790000,- - Los demás
0304810000,"- - Salmones del Pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou y Oncorhynchus rhodurus), salmones del Atlántico (Salmo salar) y salmones del Danubio (Hucho hucho)"
0304820000,"- - Truchas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache y Oncorhynchus chrysogaster)"
0304830000,"- - Pescados planos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae y Citharidae)"
0304840000,- - Peces espada (Xiphias gladius)
0304850000,"- - Austromerluzas antárticas y austromerluzas negras (merluzas negras, bacalaos de profundidad, nototenias negras) (Dissostichus spp.)"
0304860000,"- - Arenques (Clupea harengus, Clupea pallasii)"
0304870000,"- - Atunes (del género Thunnus), listados (bonitos de vientre rayado) (Katsuwonus pelamis)"
0304880000,"- - Cazones, demás escualos y rayas (Rajidae)"
0304890000,- - Los demás
0304910000,- - Peces espada (Xiphias gladius)
0304920000,"- - Austromerluzas antárticas y austromerluzas negras (merluzas negras, bacalaos de profundidad, nototenias negras) (Dissostichus spp.)"
0304930000,"- - Tilapias (Oreochromis spp.), bagres o peces gato (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), anguilas (Anguilla spp.), percas del Nilo (Lates niloticus) y peces cabeza de serpiente (Channa spp.)"
0304940000,- - Abadejos de Alaska (Theragra chalcogramma)
0304950000,"- - Pescados de las familias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae y Muraenolepididae, excepto los abadejos de Alaska (Theragra chalcogramma)"
0304960000,- - Cazones y demás escualos
0304970000,- - Rayas (Rajidae)
0304990000,- - Los demás
0305200000,"- Hígados, huevas y lechas, de pescado, secos, ahumados, salados o en salmuera"
0305310000,"- - Tilapias (Oreochromis spp.), bagres o peces gato (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), anguilas (Anguilla spp.), percas del Nilo (Lates niloticus) y peces cabeza de serpiente (Channa spp.)"
0305320000,"- - Pescados de las familias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae y Muraenolepididae"
0305391000,"- - - De bacalaos (Gadus morhua, Gadus ogac, Gadus macrocephalus)"
0305399000,- - - Los demás
0305410000,"- - Salmones del Pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou y Oncorhynchus rhodurus), salmones del Atlántico (Salmo salar) y salmones del Danubio (Hucho hucho)"
0305420000,"- - Arenques (Clupea harengus, Clupea pallasii)"
0305430000,"- - Truchas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache y Oncorhynchus chrysogaster)"
0305440000,"- - Tilapias (Oreochromis spp.), bagres o peces gato (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), anguilas (Anguilla spp.), percas del Nilo (Lates niloticus) y peces cabeza de serpiente (Channa spp.)"
0305490000,- - Los demás
0305510000,"- - Bacalaos (Gadus morhua, Gadus ogac, Gadus macrocephalus)"
0305520000,"- - Tilapias (Oreochromis spp.), bagres o peces gato (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), anguilas (Anguilla spp.), percas del Nilo (Lates niloticus) y peces cabeza de serpiente (Channa spp.)"
0305531000,"- - - Merluzas (Merluccius spp., Urophycis spp.)"
0305539000,- - - Los demás
